"city","year","PM10","SO2","NOx","pop_density","GRP_pc","second_industry","gas_supply","green_coveraged","post","key_regions"
"Shanghai","2009","81","35","53","2209.31 ","78989","39.89","497120","42.95","0","1"
"Shanghai","2010","79","29","50","2227.63 ","76074","42.05","592199","44","0","1"
"Shanghai","2011","80 ","29 ","51 ","2238.80 ","82560","41.3","661856","43.08","0","1"
"Shanghai","2012","71","23","46","2250.63 ","85373","38.92","721564","43.16","0","1"
"Shanghai","2013","84","24","48","2259.15 ","150853","37.16","750231","42.02 ","1","1"
"Shanghai","2014","71","18","45","2269.24 ","97370","34.66","727473","40.88 ","1","1"
"Shanghai","2015","69","17","0046","2275.62 ","103796","31.81","740085","39.73 ","1","1"
"Shanghai","2016","59","15","43","2286.71 ","116562","29.83","770332","38.59","1","1"
"Shanghai","2017","55","12","0044","2294.59 ","126634","30.46","808141","39.1","1","1"
"Nanjing","2008","98","54","53","948.74 ","60808","47.55","1580508","46.13","0","1"
"Nanjing","2009","100","35","48","956.81 ","67455","45.64","1757470","44.12","0","1"
"Nanjing","2010","114","36","46","960.83 ","64037","45.37","1976114","44.36","0","1"
"Nanjing","2011","97 ","34 ","49 ","966.15 ","76263","44.92","67921","44.47","0","1"
"Nanjing","2012","102","33","51","969.33 ","88525","44.03","82413","44.04","0","1"
"Nanjing","2013","137","37","55","976.32 ","124600","43.07","86128","44.63","1","1"
"Nanjing","2014","124","25","54","984.82 ","107545","41.08","95177","44.16","1","1"
"Nanjing","2015","97","19","0050","991.95 ","118171","40.29","104382","44.49","1","1"
"Nanjing","2016","85","18","44","1006.53 ","127264","39.2","116394","44.74","1","1"
"Nanjing","2017","76","16","0047","1033.85 ","141103","38.03","122080","44.9","1","1"
"Hangzhou","2008","110","52","53","408.32 ","70832","49.97","28889","37.61","0","1"
"Hangzhou","2009","97","41","52","411.77 ","63333","46.92","35995","39.91","0","1"
"Hangzhou","2010","98","34","56","415.23 ","69828","47.81","45839","39.91","0","1"
"Hangzhou","2011","93 ","39 ","58 ","417.99 ","80478","47.35","50910","40.04","0","1"
"Hangzhou","2012","87","35","53","422.09 ","88962","45.79","55623","40.03","0","1"
"Hangzhou","2013","106","28","53","425.77 ","118013","43.89","57566","40.27","1","1"
"Hangzhou","2014","98","21","50","431.31 ","103813","41.77","110830","40.47","1","1"
"Hangzhou","2015","85","16","0049","435.98 ","112230","38.89","77842","40.44","1","1"
"Hangzhou","2016","79","12","45","443.48 ","124286","36.42","90781","40.73","1","1"
"Hangzhou","2017","72","11","0045","454.33 ","148794","33.61","117799","39.96","1","1"
"Hefei","2008","134","22","25","690.69 ","34482","50.15","16306","37.11","0","1"
"Hefei","2009","111","23","27","697.36 ","41543","52.56","18626","38.44","0","1"
"Hefei","2010","115","20","30","702.36 ","54796","53.92","22411","38.81","0","1"
"Hefei","2011","113 ","22 ","25 ","617.76 ","48563","55.06","28139","40.89","0","1"
"Hefei","2012","98","19","27","620.80 ","55186","55.32","32924","39.92","0","1"
"Hefei","2013","115","22","39","621.67 ","65631","55.29","38659","45.31","1","1"
"Hefei","2014","113","23","31","622.80 ","67689","55.25","44791","45.09","1","1"
"Hefei","2015","92","16","0033","627.10 ","73102","52.6","52333","45.23","1","1"
"Hefei","2016","83","15","46","637.83 ","80138","50.7","88950","41.78","1","1"
"Hefei","2017","80","12","0052","649.19 ","125778","47.33","99558","43.07","1","1"
"Fuzhou","2008","71","23","46","487.43 ","33615","47.45","110166","37.66","0","0"
"Fuzhou","2009","64","14","40","488.23 ","38015","42.56","2460","39.25","0","0"
"Fuzhou","2010","73","9","32","494.34 ","44667","44.88","7413","40.31","0","0"
"Fuzhou","2011","69 ","9 ","32 ","497.02 ","52152","45.8","9794","40.52","0","0"
"Fuzhou","2012","60","8","35","501.53 ","58304","45.44","13608","40.63","0","0"
"Fuzhou","2013","64","11","43","501.68 ","71427","45.6","16318","42.72","1","0"
"Fuzhou","2014","65","8","36","516.53 ","69995","45.5","18409","42.89","1","0"
"Fuzhou","2015","56","6","0033","535.20 ","75259","43.6","18925","43.42","1","0"
"Fuzhou","2016","51","6","30","542.01 ","82251","41.8","18997","43.92","1","0"
"Fuzhou","2017","51","6","0029","565.67 ","111092","36.69","23550","44.36","1","0"
"Nanchang","2008","83","50","36","668.37 ","36105","55.4","10197","70.3","0","0"
"Nanchang","2009","79","54","37","671.89 ","39669","55.32","10197","42.27","0","0"
"Nanchang","2010","87","55","42","678.53 ","43769","53.27","18483","41.42","0","0"
"Nanchang","2011","88 ","56 ","38 ","682.25 ","53023","58.73","12792","42.96","0","0"
"Nanchang","2012","88","45","39","686.17 ","58715","56.45","20213","44.43","0","0"
"Nanchang","2013","116","40","40","689.14 ","65412","55.47","16004","42.33","1","0"
"Nanchang","2014","85","25","33","699.41 ","70373","54.99","25823","42.09","1","0"
"Nanchang","2015","75","19","0031","703.03 ","75879","54.5","23932","41.15","1","0"
"Nanchang","2016","78","17","33","706.57 ","81598","52.98","30735","40.88","1","0"
"Nanchang","2017","76","15","0037","709.27 ","100828","50.04","44652","42.68","1","0"
"Jinan","2008","126","52","22","738.64 ","45724","44.1","27929","36.43","0","0"
"Jinan","2009","123","50","25","737.76 ","50376","43.37","26754","36.47","0","0"
"Jinan","2010","117","45","27","738.76 ","57966","41.87","26108","37.04","0","0"
"Jinan","2011","104 ","51 ","36 ","741.84 ","64311","41.51","31268","37.08","0","0"
"Jinan","2012","104","55","41","745.02 ","69444","40.35","39300","38.02","0","0"
"Jinan","2013","199","95","61","750.03 ","85321","39.26","44000","38.96","1","0"
"Jinan","2014","172","69","57","777.19 ","82052","39.19","51214","39.77","1","0"
"Jinan","2015","163","47","0053","782.36 ","85919","37.82","60852","40","1","0"
"Jinan","2016","146","37","48","791.45 ","90999","36.24","69347","40.28","1","0"
"Jinan","2017","128","25","0048","805.20 ","110114","33.83","78095","40.73","1","0"
"Zhengzhou","2008","94","60","47","966.44 ","40616","55.24","42010","34.03","0","0"
"Zhengzhou","2009","99","53","46","982.37 ","44231","54","48089","34.5","0","0"
"Zhengzhou","2010","111","53","46","1293.31 ","49947","56.17","52171","34.85","0","0"
"Zhengzhou","2011","103 ","51 ","47 ","1356.57 ","56855","57.72","65234","35.09","0","0"
"Zhengzhou","2012","105","51","46","1440.37 ","62054","56.45","75742","36.08","0","0"
"Zhengzhou","2013","171","59","52","1234.35 ","67485","55.96","86524","33.1","1","0"
"Zhengzhou","2014","158","43","51","1259.47 ","72991","51.46","95319","40.17","1","0"
"Zhengzhou","2015","167","33","0058","1088.49 ","77179","49.29","106894","40.31","1","0"
"Zhengzhou","2016","143","29","56","1110.66 ","84114","46.79","112386","40.33","1","0"
"Zhengzhou","2017","118","21","0054","1130.81 ","94477","39.33","130025","40.4","1","0"
"Wuhan","2008","113","51","54","980.97 ","44290","46.15","44499","37.4","0","0"
"Wuhan","2009","105","44","54","983.69 ","51144","46.36","65249","37.46","0","0"
"Wuhan","2010","108","41","57","985.08 ","58961","45.51","86887","35.98","0","0"
"Wuhan","2011","100 ","39 ","56 ","973.86 ","68315","48.12","113500","37.62","0","0"
"Wuhan","2012","97","30","54","967.39 ","79482","48.35","125131","38.21","0","0"
"Wuhan","2013","124","33","60","967.86 ","110113","48.57","140000","38.87","1","0"
"Wuhan","2014","114","21","55","965.46 ","98000","47.53","147000","39.18","1","0"
"Wuhan","2015","104","18","0052","967.76 ","104132","45.68","152000","42.54","1","0"
"Wuhan","2016","92","11","46","973.28 ","111469","43.88","185000","43.7","1","0"
"Wuhan","2017","85","10","0050","996.62 ","123831","43.71","195000","34.47","1","0"
"Changsha","2008","97","53","43","545.85 ","45765","52.23","26607","36.29","0","0"
"Changsha","2009","92","39","42","551.31 ","56620","50.57","32948","37.37","0","0"
"Changsha","2010","83","40","46","552.13 ","66443","53.6","39300","36.24","0","0"
"Changsha","2011","83 ","40 ","47 ","555.69 ","79530","56.09","50363","33.45","0","0"
"Changsha","2012","88","28","44","559.07 ","89903","56.13","64298","33.95","0","0"
"Changsha","2013","94","33","46","560.93 ","107890","55.18","70321","34.37","1","0"
"Changsha","2014","84","24","42","568.21 ","107683","54.2","85657","35.16","1","0"
"Changsha","2015","76","18","0038","575.80 ","115443","50.92","91940","33.73","1","0"
"Changsha","2016","73","16","38","589.03 ","124122","48.23","76757","34.47","1","0"
"Changsha","2017","69","13","0040","600.03 ","152441","35.39","84994","35.21","1","0"
"Guangzhou","2008","71","46","56","1054.80 ","81233","38.94","19264 ","35.01","0","1"
"Guangzhou","2009","70","39","56","1068.90 ","89082","37.26","41991 ","38.21","0","1"
"Guangzhou","2010","69","33","53","1084.40 ","103625","37.24","64717","40.15","0","1"
"Guangzhou","2011","69 ","28 ","49 ","1095.78 ","97588","36.84","87443 ","35.58","0","1"
"Guangzhou","2012","69","22","49","1106.13 ","105909","34.84","110170 ","40.49","0","1"
"Guangzhou","2013","72","20","52","1119.59 ","185338","33.9","132896","41","1","1"
"Guangzhou","2014","67","17","48","1133.17 ","128478","33.47","167975","41.5","1","1"
"Guangzhou","2015","59","13","0047","1149.03 ","136188","31.64","174629","41.6","1","1"
"Guangzhou","2016","56","12","46","1170.30 ","141933","29.42","191674","41.8","1","1"
"Guangzhou","2017","56","12","0052","1207.96 ","150678","27.97","207476","42.5","1","1"
"Nanning","2008","56","40","44","312.81 ","19142","34.65","1966","38.99","0","0"
"Nanning","2009","50","32","28","315.62 ","21945","34.59","2849","39.63","0","0"
"Nanning","2010","69","28","30","319.90 ","25622","36.21","4235","40.4","0","0"
"Nanning","2011","73 ","26 ","33 ","321.77 ","31172","37.51","5517","31.77","0","0"
"Nanning","2012","69","19","33","320.76 ","35133","38.38","6554","42","0","0"
"Nanning","2013","90","19","38","325.66 ","38723","39.62","9456","42.1","1","0"
"Nanning","2014","84","15","37","328.04 ","43303","39.75","12588","49.38","1","0"
"Nanning","2015","72","13","0033","332.78 ","49066","39.46","18745","43.01","1","0"
"Nanning","2016","62","12","32","338.07 ","52723","38.52","22048","42.18","1","0"
"Nanning","2017","56","11","0035","340.32 ","79292","40.15","31489","42.28","1","0"
"Haikou","2008","43","9","17","676.30 ","24420","25.56","12097","43.41","0","0"
"Haikou","2009","38","7","16","686.51 ","26366","24.47","9244","43.98","0","0"
"Haikou","2010","40","7","15","696.01 ","30329","24","10031","41.04","0","0"
"Haikou","2011","41 ","8 ","16 ","704.56 ","35669","24.94","11492","41.73","0","0"
"Haikou","2012","34","6","19","701.08 ","38634","24.63","12143","41.86","0","0"
"Haikou","2013","47","7","17","708.03 ","55499","23.99","19071","42.36","1","0"
"Haikou","2014","42","6","16","723.73 ","49943","19.92","15187","42.7","1","0"
"Haikou","2015","40","5","0014","715.28 ","52534","19.25","11303","45.4","1","0"
"Haikou","2016","39","6","16","724.83 ","56315","18.57","12319","38.54","1","0"
"Haikou","2017","37","6","0012","747.05 ","61589","18.14","19060","38.54","1","0"
"Chongqing","2008","106","63","43","393.24 ","18025","47.74","187936","68.94","0","0"
"Chongqing","2009","105","53","37","395.48 ","22920","52.81","205164","42.57","0","0"
"Chongqing","2010","102","48","39","398.83 ","27596","55","254021","40.58","0","0"
"Chongqing","2011","93 ","38 ","31 ","402.01 ","34500","55.37","268790","40.18","0","0"
"Chongqing","2012","90","37","35","405.88 ","38914","52.37","324965","42.92","0","0"
"Chongqing","2013","106","32","38","407.70 ","37691","50.55","324336","41.66","1","0"
"Chongqing","2014","98","24","39","409.74 ","47850","45.78","321485","41.02","1","0"
"Chongqing","2015","87","16","0045","409.33 ","52321","44.98","349378","40.32","1","0"
"Chongqing","2016","77","13","46","411.64 ","57902","44.52","384521","40.75","1","0"
"Chongqing","2017","72","12","0046","411.40 ","63689","44.1","466511","40","1","0"
"Chengdu","2008","111","49","52","907.96 ","30855","46.57","309353","38.55","0","0"
"Chengdu","2009","111","38","55","940.21 ","35215","44.46","199810","38.83","0","0"
"Chengdu","2010","104","31","51","947.14 ","48510","44.69","219000","62.46","0","0"
"Chengdu","2011","100 ","31 ","51 ","959.74 ","48755","45.86","227000","39.17","0","0"
"Chengdu","2012","119","33","51","967.99 ","57624","46.27","210902","39.34","0","0"
"Chengdu","2013","150","31","63","979.15 ","76674","45.91","205368","40.16","1","0"
"Chengdu","2014","123","19","59","998.84 ","70019","44.83","216492","32.5","1","0"
"Chengdu","2015","108","14","0053","1013.16 ","74273","43.73","227092","39.82","1","0"
"Chengdu","2016","105","14","54","975.93 ","76960","42.99","278703","41.41","1","0"
"Chengdu","2017","88","11","0053","1001.05 ","103757","43.92","312462","41.63","1","0"
"Guiyang","2008","82","64","23","452.99 ","20638","46.97","22685","42.1","0","0"
"Guiyang","2009","74","58","26","456.91 ","24585","40.65","22851","38.48","0","0"
"Guiyang","2010","75","57","27","419.67 ","26057","40.73","22364","42.3","0","0"
"Guiyang","2011","79 ","49 ","30 ","468.14 ","31712","42.43","25237","43.5","0","0"
"Guiyang","2012","73","31","28","466.14 ","38447","42.19","26909","30.89","0","0"
"Guiyang","2013","85","31","33","471.34 ","55024","40.69","27704","35.77","1","0"
"Guiyang","2014","74","24","31","476.07 ","55018","39.11","24198","40.65","1","0"
"Guiyang","2015","61","17","0028","487.12 ","63003","38.34","20500","40.73 ","1","0"
"Guiyang","2016","64","13","29","498.57 ","67772","38.6","24903","40.82 ","1","0"
"Guiyang","2017","53","13","0027","507.27 ","79295","35.2","30692","40.9","1","0"
"Kunming","2008","67","51","39","253.71 ","25826","42.77","24393","35.93","0","0"
"Kunming","2009","67","41","46","254.10 ","25826","45.59","26270","38.99","0","0"
"Kunming","2010","72","40","46","277.89 ","33550","45.32","24393","34.72","0","0"
"Kunming","2011","65 ","37 ","44 ","258.90 ","38831","46.27","28487","43.6","0","0"
"Kunming","2012","67","34","36","258.66 ","46256","45.78","30866","47.32","0","0"
"Kunming","2013","82","28","40","260.23 ","62437","45.01","34406","39.29","1","0"
"Kunming","2014","70","20","36","261.99 ","56236","41.44","34740","41.5","1","0"
"Kunming","2015","56","17","0030","301.63 ","59656","39.98","30542","41.78","1","0"
"Kunming","2016","55","17","28","266.34 ","64156","38.61","32376","39.7","1","0"
"Kunming","2017","58","15","0032","264.56 ","90074","38.71","23602","42.05","1","0"
"Xian","2008","113","50","44","764.05 ","26259","45.1","84874","40.29","0","0"
"Xian","2009","113","48","46","773.32 ","32411","42.02","95885","40.43","0","0"
"Xian","2010","126","43","45","774.37 ","38341","43.48","105807","40.37","0","0"
"Xian","2011","118 ","42 ","41 ","783.34 ","45495","43.92","116649","41.1","0","0"
"Xian","2012","118","40","42","787.50 ","51166","43.1","138050","42","0","0"
"Xian","2013","189","46","57","799.15 ","60522","43.36","147044","42.2","1","0"
"Xian","2014","152","32","47","807.47 ","63794","39.96","178125","42.5","1","0"
"Xian","2015","126","24","0044","807.82 ","66938","36.65","193039","42.58","1","0"
"Xian","2016","137","20","53","816.35 ","71357","35.12","201925","43.21","1","0"
"Xian","2017","126","19","0059","842.56 ","84205","35.15","236110","41.11","1","0"
"Lanzhou","2008","132","70","54","246.30 ","25628","47.06","51746","26.39","0","0"
"Lanzhou","2009","150","59","43","247.28 ","27904","46.83","57615","26.35","0","0"
"Lanzhou","2010","155","57","48","247.24 ","34009","48.09","70182","25.05","0","0"
"Lanzhou","2011","138 ","48 ","42 ","247.06 ","37570","48.27","80750","25.08","0","0"
"Lanzhou","2012","136","41","39","245.68 ","43175","47.62","88493","29.35","0","0"
"Lanzhou","2013","153","33","35","281.68 ","48138","46.19","114891","33.92","1","0"
"Lanzhou","2014","126","29","48","286.34 ","54771","41.22","129818","35.27","1","0"
"Lanzhou","2015","120","23","0053","245.99 ","56972","37.34","125501","34.49","1","0"
"Lanzhou","2016","132","19","57","247.59 ","61207","34.89","123141","35.18","1","0"
"Lanzhou","2017","111","20","0057","249.12 ","78412","32.59","142251","36.59","1","0"
"Xining","2008","118","29","30","284.73 ","19494","53.86","48473","35.61","0","0"
"Xining","2009","141","42","32","253.02 ","22865","49.76","47416","38.72","0","0"
"Xining","2010","124","39","26","288.53 ","28428","51.05","54255","40.97","0","0"
"Xining","2011","105 ","43 ","26 ","290.67 ","34743","53.36","59572","37.13","0","0"
"Xining","2012","105","35","26","258.97 ","38034","51.64","102749","37.64","0","0"
"Xining","2013","163","48","41","296.51 ","43107","52.58","103798","38.55","1","0"
"Xining","2014","121","41","38","264.87 ","46762","49.79","113747","39.11","1","0"
"Xining","2015","106","31","0038","262.62 ","49197","48.03","113871","38.92","1","0"
"Xining","2016","113","31","42","265.01 ","53756","47.72","114233","40.57","1","0"
"Xining","2017","83","24","0040","268.93 ","77662","37.4","116528","41","1","0"
"Yinchuan","2008","84","49","21","159.36 ","31436","48.77","87840","36.56","0","0"
"Yinchuan","2009","90","44","31","162.79 ","34453","49.43","96823","43.19","0","0"
"Yinchuan","2010","93","39","26","175.96 ","41520","50.1","86937","42.88","0","0"
"Yinchuan","2011","95 ","38 ","30 ","179.72 ","48964","53.23","86937","41.17","0","0"
"Yinchuan","2012","99","44","37","185.26 ","56528","53.79","147354","41.72","0","0"
"Yinchuan","2013","118","77","43","191.25 ","74510","53.42","172394","40.95","1","0"
"Yinchuan","2014","112","69","42","217.17 ","65942","54.02","172394","43.66","1","0"
"Yinchuan","2015","112","64","0039","198.59 ","69594","52.27","162000","40.84","1","0"
"Yinchuan","2016","111","57","37","203.88 ","74288","51.04","163000","57.71","1","0"
"Yinchuan","2017","106","48","0042","209.42 ","77927","35.85","163000","42","1","0"
"Urumqi","2008","145","105","65","166.05 ","37343","41.7","981220","24.2","0","0"
"Urumqi","2009","140","93","68","174.93 ","38496","41.36","984802","34.27","0","0"
"Urumqi","2010","133","89","67","176.26 ","43039","44.86","68243","34.77","0","0"
"Urumqi","2011","132 ","79 ","68 ","180.88 ","52649","44.91","88498","58.33","0","0"
"Urumqi","2012","145","58","68","186.97 ","59645","41.37","146244","35.49","0","0"
"Urumqi","2013","146","29","61","190.67 ","83759","39.73","233341","37.95","1","0"
"Urumqi","2014","146","25","56","193.57 ","70428","36.81","297454","38.52","1","0"
"Urumqi","2015","133","15","0052","193.52 ","74340","29.92","279168","40.3","1","0"
"Urumqi","2016","115","14","53","194.37 ","69865","28.63","309599","40.9","1","0"
"Urumqi","2017","105","13","0049","161.73 ","79892","30.24","307916","41.8","1","0"
